Garment,Fabric_Type,Fabric_m,Price_per_m,Material_Cost_ZAR,Total_Cost_ZAR
Jacket,Wool,2.4,195,468.0,599.51
Jacket,Wool,3.8,228,866.4,814.32
Blouse,Cotton,0.8,62,49.6,132.55
Blouse,Cotton,2.0,90,180.0,158.32
Blouse,Denim,1.0,88,88.0,84.62
Blouse,Denim,2.2,116,255.2,338.33
Blouse,Nylon,0.7,46,32.2,50.0
Blouse,Nylon,1.8,66,118.8,256.04
Blouse,Polyester,0.8,44,35.2,75.72
Blouse,Polyester,1.9,64,121.6,211.3
Blouse,Silk,0.9,140,126.0,239.9
Blouse,Silk,2.1,172,361.2,573.15
Blouse,Wool,1.1,182,200.2,279.65
Blouse,Wool,2.2,208,457.6,513.19
Dress,Cotton,2.1,65,136.5,259.73
Dress,Cotton,4.8,122,585.6,734.6
Dress,Cotton,5.0,125,625.0,678.69
Dress,Denim,2.2,95,209.0,281.06
Dress,Denim,4.8,142,681.6,667.62
Dress,Denim,5.0,145,725.0,748.97
Dress,Nylon,2.0,50,100.0,94.15
Dress,Nylon,4.6,95,437.0,590.04
Dress,Nylon,4.8,98,470.4,420.53
Dress,Polyester,2.1,45,94.5,74.21
Dress,Polyester,4.7,88,413.6,470.38
Dress,Polyester,4.9,90,441.0,597.54
Dress,Silk,2.2,135,297.0,360.74
Dress,Silk,4.8,210,1008.0,1179.16
Dress,Silk,5.0,215,1075.0,1142.17
Dress,Wool,2.5,185,462.5,584.56
Dress,Wool,4.8,260,1248.0,1278.96
Dress,Wool,5.0,265,1325.0,1589.89
Shirt,Cotton,1.0,60,60.0,53.37
Shirt,Cotton,2.9,102,295.8,407.18
Shirt,Cotton,3.0,105,315.0,464.83
Shirt,Denim,1.3,88,114.4,250.63
Shirt,Denim,2.9,125,362.5,426.52
Shirt,Denim,3.1,128,396.8,466.0
Shirt,Nylon,1.0,45,45.0,150.31
Shirt,Nylon,2.6,75,195.0,264.91
Shirt,Nylon,2.8,78,218.4,326.14
Shirt,Polyester,1.1,45,49.5,323.32
Shirt,Polyester,2.8,72,201.6,246.53
Shirt,Polyester,3.0,75,225.0,155.62
Shirt,Silk,1.2,140,168.0,269.34
Shirt,Silk,2.7,185,499.5,768.18
Shirt,Silk,2.9,190,551.0,544.35
Shirt,Wool,1.3,175,227.5,425.2
Shirt,Wool,2.9,225,652.5,812.11
Shirt,Wool,3.1,230,713.0,739.22
Suit,Cotton,3.2,72,230.4,375.34
Suit,Cotton,5.5,122,671.0,912.89
Suit,Cotton,5.7,125,712.5,709.89
Suit,Denim,3.4,95,323.0,356.64
Suit,Denim,5.6,135,756.0,814.1
Suit,Denim,5.8,138,800.4,791.82
Suit,Nylon,3.1,58,179.8,238.8
Suit,Nylon,5.0,90,450.0,392.63
Suit,Nylon,5.3,92,487.6,560.17
Suit,Polyester,3.0,55,165.0,197.89
Suit,Polyester,5.2,85,442.0,560.64
Suit,Polyester,5.5,88,484.0,477.58
Suit,Silk,3.7,155,573.5,697.47
Suit,Silk,5.7,200,1140.0,1304.9
Suit,Silk,6.0,205,1230.0,1140.54
Suit,Wool,3.6,190,684.0,748.23
Suit,Wool,5.8,245,1421.0,1595.65
Suit,Wool,6.0,250,1500.0,1472.71
Skirt,Cotton,1.4,65,91.0,313.23
Skirt,Cotton,3.4,105,357.0,414.62
Skirt,Cotton,3.6,108,388.8,381.59
Skirt,Denim,1.6,90,144.0,168.79
Skirt,Denim,3.4,125,425.0,520.14
Skirt,Denim,3.6,128,460.8,521.54
Skirt,Nylon,1.3,50,65.0,149.66
Skirt,Nylon,3.0,78,234.0,189.52
Skirt,Nylon,3.2,80,256.0,311.78
Skirt,Polyester,1.2,48,57.6,50.0
Skirt,Polyester,3.1,72,223.2,320.81
Skirt,Polyester,3.3,75,247.5,204.28
Skirt,Silk,1.7,140,238.0,230.49
Skirt,Silk,3.7,182,673.4,810.69
Skirt,Silk,3.9,185,721.5,877.86
Skirt,Wool,1.6,185,296.0,441.97
Skirt,Wool,3.5,230,805.0,787.57
Skirt,Wool,3.7,235,869.5,888.62
Trousers,Cotton,1.2,65,78.0,263.55
Trousers,Cotton,2.9,102,295.8,351.5
Trousers,Cotton,3.1,105,325.5,617.53
Trousers,Denim,1.3,90,117.0,193.68
Trousers,Denim,3.0,125,375.0,411.49
Trousers,Denim,3.2,128,409.6,480.27
Trousers,Nylon,1.1,50,55.0,122.08
Trousers,Nylon,2.8,78,218.4,286.89
Trousers,Nylon,3.0,80,240.0,390.44
Trousers,Polyester,1.2,48,57.6,199.8
Trousers,Polyester,2.9,72,208.8,258.48
Trousers,Polyester,3.1,75,232.5,199.03
Trousers,Silk,1.5,142,213.0,114.43
Trousers,Silk,3.4,185,629.0,740.34
Trousers,Silk,3.6,190,684.0,675.73
Trousers,Wool,1.4,182,254.8,205.33
Trousers,Wool,3.3,230,759.0,866.33
Trousers,Wool,3.5,235,822.5,1101.64
Jacket,Cotton,2.0,70,140.0,209.54
Jacket,Cotton,4.2,108,453.6,555.88
Jacket,Cotton,4.4,110,484.0,605.18
Jacket,Denim,2.2,92,202.4,299.94
Jacket,Denim,4.2,128,537.6,684.96
Jacket,Denim,4.4,130,572.0,640.09
Jacket,Nylon,1.9,58,110.2,158.38
Jacket,Nylon,3.9,85,331.5,375.78
Jacket,Nylon,4.1,88,360.8,358.38
Jacket,Polyester,2.0,55,110.0,266.87
Jacket,Polyester,4.0,82,328.0,405.8
Jacket,Polyester,4.2,85,357.0,374.97
Jacket,Silk,2.4,152,364.8,492.29
Jacket,Silk,4.4,190,836.0,822.19
Jacket,Silk,4.6,195,897.0,921.13
Jacket,Wool,2.3,192,441.6,466.91
Jacket,Wool,4.2,240,1008.0,1135.95
Jacket,Wool,4.4,245,1078.0,1133.82
Blouse,Cotton,0.8,60,48.0,156.11
Blouse,Cotton,2.2,95,209.0,369.72
Blouse,Cotton,2.4,98,235.2,430.12
Blouse,Denim,1.0,85,85.0,190.1
Blouse,Denim,2.4,120,288.0,394.78
Blouse,Denim,2.6,125,325.0,286.0
Blouse,Nylon,0.7,45,31.5,50.0
Blouse,Nylon,2.0,70,140.0,177.97
Blouse,Nylon,2.2,72,158.4,164.4
Blouse,Polyester,0.8,42,33.6,88.49
Blouse,Polyester,2.1,68,142.8,229.08
Blouse,Polyester,2.3,70,161.0,319.97
Blouse,Silk,0.9,138,124.2,174.88
Blouse,Silk,2.3,178,409.4,524.12
Blouse,Silk,2.5,182,455.0,559.87
Blouse,Wool,1.0,180,180.0,148.92
Blouse,Wool,2.4,215,516.0,512.11
Blouse,Wool,2.6,220,572.0,585.13
Hoodie,Cotton,1.5,72,108.0,83.71
Hoodie,Cotton,3.1,100,310.0,470.28
Hoodie,Cotton,3.3,102,336.6,474.12
Hoodie,Denim,1.7,95,161.5,319.48
Hoodie,Denim,3.2,125,400.0,464.89
Hoodie,Denim,3.4,128,435.2,665.7
Hoodie,Nylon,1.4,58,81.2,125.42
Hoodie,Nylon,2.9,78,226.2,282.76
Hoodie,Nylon,3.1,80,248.0,281.71
Hoodie,Polyester,1.5,52,78.0,105.17
Hoodie,Polyester,3.0,72,216.0,300.71
Hoodie,Polyester,3.2,75,240.0,288.86
Hoodie,Silk,1.8,148,266.4,321.52
Hoodie,Silk,3.4,182,618.8,661.03
Hoodie,Silk,3.6,185,666.0,799.97
Hoodie,Wool,1.9,195,370.5,529.36
Hoodie,Wool,3.5,230,805.0,973.66
Hoodie,Wool,3.7,235,869.5,855.44
Coat,Cotton,2.6,80,208.0,113.26
Coat,Cotton,4.2,102,428.4,587.91
Coat,Cotton,4.7,108,507.6,450.44
Coat,Denim,2.9,100,290.0,307.04
Coat,Denim,4.5,125,562.5,543.19
Coat,Denim,4.8,128,614.4,533.41
Coat,Nylon,2.4,62,148.8,216.66
Coat,Nylon,4.1,82,336.2,491.49
Coat,Nylon,4.3,85,365.5,343.99
Coat,Polyester,2.5,58,145.0,50.0
Coat,Polyester,4.2,78,327.6,352.38
Coat,Polyester,4.4,80,352.0,477.57
Coat,Silk,3.0,162,486.0,491.39
Coat,Silk,4.7,190,893.0,1013.84
Coat,Silk,5.0,195,975.0,1088.84
Coat,Wool,2.8,200,560.0,683.72
Coat,Wool,4.5,232,1044.0,1104.02
Coat,Wool,4.8,238,1142.4,1181.96
Jersey,Cotton,1.1,65,71.5,193.8
Jersey,Cotton,2.7,95,256.5,264.54
Jersey,Cotton,2.9,98,284.2,335.14
Jersey,Denim,1.3,92,119.6,130.17
Jersey,Denim,2.8,118,330.4,394.95
Jersey,Denim,3.0,120,360.0,390.23
Jersey,Nylon,1.0,50,50.0,148.95
Jersey,Nylon,2.4,72,172.8,418.98
Jersey,Nylon,2.6,75,195.0,192.47
Jersey,Polyester,1.1,48,52.8,50.0
Jersey,Polyester,2.5,70,175.0,398.03
Jersey,Polyester,2.7,72,194.4,228.6
Jersey,Silk,1.2,145,174.0,206.51
Jersey,Silk,2.7,178,480.6,603.08
Jersey,Silk,2.9,182,527.8,539.1
Jersey,Wool,1.4,185,259.0,429.8
Jersey,Wool,2.9,220,638.0,716.16
Jersey,Wool,3.1,225,697.5,770.68
Shorts,Cotton,0.9,65,58.5,294.31
Shorts,Cotton,2.3,92,211.6,186.89
Shorts,Cotton,2.5,95,237.5,393.5
Shorts,Denim,1.1,90,99.0,218.59
Shorts,Denim,2.5,118,295.0,501.24
Shorts,Denim,2.7,120,324.0,516.84
Shorts,Nylon,0.8,48,38.4,153.82
Shorts,Nylon,2.0,70,140.0,195.14
Shorts,Nylon,2.2,72,158.4,296.11
Shorts,Polyester,0.9,46,41.4,94.25
Shorts,Polyester,2.1,65,136.5,368.45
Shorts,Polyester,2.3,68,156.4,207.7
Shorts,Silk,1.0,142,142.0,168.43
Shorts,Silk,2.2,170,374.0,422.94
Shorts,Silk,2.4,175,420.0,387.34
Shorts,Wool,1.2,182,218.4,207.07
Shorts,Wool,2.4,210,504.0,630.59
Shorts,Wool,2.6,215,559.0,608.43
Tracksuit,Cotton,2.4,78,187.2,185.19
Tracksuit,Cotton,4.0,100,400.0,461.5
Tracksuit,Cotton,4.2,102,428.4,540.88
Tracksuit,Denim,2.6,100,260.0,418.26
Tracksuit,Denim,4.2,125,525.0,658.17
Tracksuit,Denim,4.4,128,563.2,623.09
Tracksuit,Nylon,2.2,60,132.0,137.7
Tracksuit,Nylon,3.8,80,304.0,442.3
Tracksuit,Nylon,4.0,82,328.0,403.65
Tracksuit,Polyester,2.3,55,126.5,215.57
Tracksuit,Polyester,3.9,75,292.5,480.74
Tracksuit,Polyester,4.1,78,319.8,449.78
Tracksuit,Silk,2.6,155,403.0,476.4
Tracksuit,Silk,4.2,185,777.0,1023.39
Tracksuit,Silk,4.4,190,836.0,822.44
Tracksuit,Wool,2.8,200,560.0,700.02
Tracksuit,Wool,4.4,230,1012.0,1072.3
Tracksuit,Wool,4.6,235,1081.0,1193.27
Dress,Cotton,2.0,62,124.0,327.35
Dress,Cotton,4.9,125,612.5,711.83
Dress,Denim,2.1,92,193.2,309.82
Dress,Denim,4.9,145,710.5,876.44
Dress,Nylon,1.9,48,91.2,91.66
Dress,Nylon,4.7,98,460.6,516.27
Dress,Polyester,2.0,42,84.0,110.15
Dress,Polyester,4.8,90,432.0,366.6
Dress,Silk,2.1,132,277.2,537.38
Dress,Silk,4.9,212,1038.8,996.54
Dress,Wool,2.4,182,436.8,473.1
Dress,Wool,4.9,262,1283.8,1336.91
Shirt,Cotton,0.9,58,52.2,123.4
Shirt,Cotton,2.8,100,280.0,398.56
Shirt,Denim,1.2,85,102.0,282.94
Shirt,Denim,2.8,122,341.6,334.6
Shirt,Nylon,0.9,42,37.8,115.19
Shirt,Nylon,2.5,72,180.0,285.33
Shirt,Polyester,1.0,42,42.0,139.23
Shirt,Polyester,2.7,70,189.0,330.3
Shirt,Silk,1.1,138,151.8,295.85
Shirt,Silk,2.6,182,473.2,551.66
Shirt,Wool,1.2,172,206.4,279.43
Shirt,Wool,2.8,222,621.6,811.16
Suit,Cotton,3.1,70,217.0,276.66
Suit,Cotton,5.4,120,648.0,612.13
Suit,Denim,3.3,92,303.6,411.76
Suit,Denim,5.5,132,726.0,727.84
Suit,Nylon,3.0,55,165.0,177.11
Suit,Nylon,5.1,92,469.2,560.45
Suit,Polyester,2.9,52,150.8,318.25
Suit,Polyester,5.1,85,433.5,554.11
Suit,Silk,3.6,152,547.2,649.51
Suit,Silk,5.6,198,1108.8,1326.26
Suit,Wool,3.5,188,658.0,757.17
Suit,Wool,5.7,242,1379.4,1674.74
Skirt,Cotton,1.4,62,86.8,182.48
Skirt,Cotton,3.3,102,336.6,309.72
Skirt,Denim,1.5,88,132.0,295.85
Skirt,Denim,3.3,122,402.6,506.37
Skirt,Nylon,1.2,48,57.6,186.93
Skirt,Nylon,2.9,75,217.5,343.3
Skirt,Polyester,1.1,45,49.5,76.05
Skirt,Polyester,3.0,70,210.0,190.6
Skirt,Silk,1.6,138,220.8,301.03
Skirt,Silk,3.6,180,648.0,645.81
Skirt,Wool,1.5,182,273.0,287.19
Skirt,Wool,3.4,225,765.0,889.42
Trousers,Cotton,1.1,62,68.2,255.22
Trousers,Cotton,2.8,100,280.0,409.78
Trousers,Denim,1.2,88,105.6,113.35
Trousers,Denim,2.9,122,353.8,424.35
Trousers,Nylon,1.0,48,48.0,180.31
Trousers,Nylon,2.7,75,202.5,229.48
Trousers,Polyester,1.1,45,49.5,88.39
Trousers,Polyester,2.8,70,196.0,314.11
Trousers,Silk,1.4,140,196.0,213.77
Trousers,Silk,3.3,182,600.6,736.52
Trousers,Wool,1.3,180,234.0,310.87
Trousers,Wool,3.2,225,720.0,841.66
Jacket,Cotton,1.9,68,129.2,99.22
Jacket,Cotton,4.1,105,430.5,423.49
Jacket,Denim,2.1,90,189.0,302.52
Jacket,Denim,4.1,125,512.5,573.36
Jacket,Nylon,1.8,55,99.0,334.33
Jacket,Nylon,3.8,82,311.6,365.44
Jacket,Polyester,1.9,52,98.8,202.76
Jacket,Polyester,3.9,80,312.0,450.38
Jacket,Silk,2.3,148,340.4,304.36
Jacket,Silk,4.3,188,808.4,723.52
Jacket,Wool,2.2,190,418.0,342.86
Jacket,Wool,4.1,235,963.5,1167.78
Blouse,Cotton,0.7,58,40.6,95.95
Blouse,Cotton,2.1,92,193.2,414.26
Blouse,Denim,0.9,82,73.8,97.22
Blouse,Denim,2.3,118,271.4,380.33
Blouse,Nylon,0.6,42,25.2,202.58
Blouse,Nylon,1.9,68,129.2,350.6
Blouse,Polyester,0.7,40,28.0,258.58
Blouse,Polyester,2.0,65,130.0,291.19
Blouse,Silk,0.8,135,108.0,274.28
Blouse,Silk,2.2,175,385.0,468.72
Blouse,Wool,1.0,178,178.0,343.74
Blouse,Wool,2.3,212,487.6,492.0
Dress,Cotton,2.0,60,120.0,115.25
Dress,Cotton,5.2,130,676.0,766.75
Dress,Cotton,5.5,135,742.5,813.66
Dress,Denim,1.9,90,171.0,209.8
Dress,Denim,5.2,148,769.6,865.15
Dress,Denim,5.5,150,825.0,963.09
Dress,Nylon,1.8,45,81.0,177.67
Dress,Nylon,5.0,100,500.0,713.51
Dress,Nylon,5.2,102,530.4,549.24
Dress,Polyester,1.9,40,76.0,143.38
Dress,Polyester,5.2,92,478.4,500.3
Dress,Polyester,5.4,95,513.0,446.14
Dress,Silk,2.0,130,260.0,332.76
Dress,Silk,5.2,220,1144.0,1252.81
Dress,Silk,5.5,225,1237.5,1432.72
Dress,Wool,2.3,180,414.0,510.61
Dress,Wool,5.2,270,1404.0,1438.71
Dress,Wool,5.5,275,1512.5,1693.42
Shirt,Cotton,0.9,55,49.5,235.65
Shirt,Cotton,3.1,108,334.8,481.73
Shirt,Cotton,3.2,110,352.0,382.91
Shirt,Denim,1.2,82,98.4,85.99
Shirt,Denim,3.2,130,416.0,448.91
Shirt,Denim,3.4,132,448.8,647.97
Shirt,Nylon,0.9,42,37.8,264.03
Shirt,Nylon,2.9,78,226.2,392.67
Shirt,Nylon,3.1,80,248.0,260.11
Shirt,Polyester,1.0,42,42.0,50.0
Shirt,Polyester,3.1,75,232.5,279.13
Shirt,Polyester,3.3,78,257.4,180.94
Shirt,Silk,1.1,135,148.5,205.89
Shirt,Silk,3.0,190,570.0,664.86
Shirt,Silk,3.2,195,624.0,696.83
Shirt,Wool,1.2,170,204.0,181.65
Shirt,Wool,3.2,232,742.4,856.16
Shirt,Wool,3.4,235,799.0,799.8
Suit,Cotton,3.0,68,204.0,201.71
Suit,Cotton,5.8,128,742.4,600.64
Suit,Cotton,6.0,130,780.0,815.92
Suit,Denim,3.2,90,288.0,497.75
Suit,Denim,6.0,140,840.0,1028.37
Suit,Denim,6.2,142,880.4,962.9
Suit,Nylon,2.9,55,159.5,168.05
Suit,Nylon,5.4,95,513.0,568.38
Suit,Nylon,5.6,98,548.8,544.45
Suit,Polyester,2.8,52,145.6,272.38
Suit,Polyester,5.6,88,492.8,662.61
Suit,Polyester,5.8,90,522.0,703.59
Suit,Silk,3.5,150,525.0,573.44
Suit,Silk,6.2,210,1302.0,1370.63
Suit,Silk,6.5,215,1397.5,1401.24
Suit,Wool,3.4,185,629.0,586.6
Suit,Wool,6.2,252,1562.4,1655.31
Suit,Wool,6.5,258,1677.0,1744.72
Skirt,Cotton,1.3,62,80.6,221.55
Skirt,Cotton,3.7,110,407.0,381.39
Skirt,Cotton,3.9,112,436.8,629.45
Skirt,Denim,1.5,85,127.5,180.04
Skirt,Denim,3.8,130,494.0,551.39
Skirt,Denim,4.0,132,528.0,516.61
Skirt,Nylon,1.2,48,57.6,50.0
Skirt,Nylon,3.3,80,264.0,441.72
Skirt,Nylon,3.5,82,287.0,426.61
Skirt,Polyester,1.1,45,49.5,147.27
Skirt,Polyester,3.4,75,255.0,353.06
Skirt,Polyester,3.6,78,280.8,402.74
Skirt,Silk,1.6,135,216.0,160.08
Skirt,Silk,4.0,185,740.0,736.07
Skirt,Silk,4.2,190,798.0,935.94
Skirt,Wool,1.5,180,270.0,217.34
Skirt,Wool,3.8,235,893.0,941.15
Skirt,Wool,4.0,240,960.0,920.62
Trousers,Cotton,1.1,60,66.0,173.2
Trousers,Cotton,3.2,108,345.6,432.91
Trousers,Cotton,3.4,110,374.0,350.11
Trousers,Denim,1.2,85,102.0,242.9
Trousers,Denim,3.3,130,429.0,438.56
Trousers,Denim,3.5,132,462.0,487.85
Trousers,Nylon,1.0,48,48.0,160.14
Trousers,Nylon,3.0,80,240.0,423.69
Trousers,Nylon,3.2,82,262.4,220.74
Trousers,Polyester,1.1,45,49.5,144.15
Trousers,Polyester,3.2,75,240.0,387.36
Trousers,Polyester,3.4,78,265.2,355.51
Trousers,Silk,1.4,138,193.2,227.52
Trousers,Silk,3.7,190,703.0,704.3
Trousers,Silk,3.9,195,760.5,767.04
Trousers,Wool,1.3,178,231.4,337.9
Trousers,Wool,3.6,235,846.0,796.09
Trousers,Wool,3.8,240,912.0,780.53
Jacket,Cotton,1.9,65,123.5,197.45
Jacket,Cotton,4.5,112,504.0,623.22
Jacket,Cotton,4.7,115,540.5,465.17
Jacket,Denim,2.1,88,184.8,128.6
Jacket,Denim,4.5,132,594.0,713.73
Jacket,Denim,4.7,135,634.5,866.77
Jacket,Nylon,1.8,55,99.0,189.57
Jacket,Nylon,4.2,88,369.6,416.66
Jacket,Nylon,4.4,90,396.0,419.2
Jacket,Polyester,1.9,52,98.8,227.56
Jacket,Polyester,4.3,85,365.5,380.75
Jacket,Polyester,4.5,88,396.0,451.69
Jacket,Silk,2.2,148,325.6,331.17
Jacket,Silk,4.7,195,916.5,886.55
Jacket,Silk,4.9,200,980.0,1034.26
Jacket,Wool,2.1,188,394.8,613.41
Jacket,Wool,4.5,245,1102.5,1152.88
Jacket,Wool,4.7,250,1175.0,1253.96
Blouse,Cotton,0.7,55,38.5,79.48
Blouse,Cotton,2.5,100,250.0,178.03
Blouse,Cotton,2.7,102,275.4,387.05
Blouse,Denim,0.9,80,72.0,182.13
Blouse,Denim,2.7,125,337.5,421.88
Blouse,Denim,2.9,128,371.2,667.18
Blouse,Nylon,0.6,40,24.0,120.55
Blouse,Nylon,2.2,72,158.4,184.66
Blouse,Nylon,2.4,75,180.0,257.82
Blouse,Polyester,0.7,38,26.6,189.27
Blouse,Polyester,2.3,70,161.0,257.55
Blouse,Polyester,2.5,72,180.0,151.46
Blouse,Silk,0.8,132,105.6,195.97
Blouse,Silk,2.6,180,468.0,491.58
Blouse,Silk,2.8,185,518.0,775.37
Blouse,Wool,0.9,175,157.5,338.01
Blouse,Wool,2.7,218,588.6,660.84
Blouse,Wool,2.9,222,643.8,797.48
Hoodie,Cotton,1.4,68,95.2,199.32
Hoodie,Cotton,3.4,105,357.0,518.36
Hoodie,Cotton,3.6,108,388.8,473.38
Hoodie,Denim,1.6,90,144.0,125.13
Hoodie,Denim,3.5,128,448.0,453.43
Hoodie,Denim,3.7,130,481.0,656.73
Hoodie,Nylon,1.3,55,71.5,132.24
Hoodie,Nylon,3.2,80,256.0,331.54
Hoodie,Nylon,3.4,82,278.8,254.72
Hoodie,Polyester,1.4,50,70.0,154.97
Hoodie,Polyester,3.3,75,247.5,519.15
Hoodie,Polyester,3.5,78,273.0,252.44
Hoodie,Silk,1.7,145,246.5,308.33
Hoodie,Silk,3.7,185,684.5,833.08
Hoodie,Silk,3.9,190,741.0,824.99
Hoodie,Wool,1.8,192,345.6,401.74
Hoodie,Wool,3.8,235,893.0,889.82
Hoodie,Wool,4.0,240,960.0,1043.32
Coat,Cotton,2.4,78,187.2,223.08
Coat,Cotton,4.5,108,486.0,661.39
Coat,Cotton,5.0,112,560.0,711.61
Coat,Denim,2.7,98,264.6,486.03
Coat,Denim,4.8,128,614.4,678.14
Coat,Denim,5.1,130,663.0,767.59
Coat,Nylon,2.2,60,132.0,179.67
Coat,Nylon,4.4,85,374.0,418.35
Coat,Nylon,4.6,88,404.8,545.34
Coat,Polyester,2.3,55,126.5,129.21
Coat,Polyester,4.5,80,360.0,401.71
Coat,Polyester,4.7,82,385.4,574.84
Coat,Silk,2.8,158,442.4,475.44
Coat,Silk,5.1,195,994.5,1197.52
Coat,Silk,5.4,200,1080.0,1228.4
Coat,Wool,2.6,198,514.8,624.89
Coat,Wool,4.9,235,1151.5,1031.37
Coat,Wool,5.2,240,1248.0,1281.13
Jersey,Cotton,1.0,62,62.0,259.88
Jersey,Cotton,3.0,100,300.0,414.27
Jersey,Cotton,3.2,102,326.4,343.98
Jersey,Denim,1.2,88,105.6,149.51
Jersey,Denim,3.1,122,378.2,502.64
Jersey,Denim,3.3,125,412.5,523.76
Jersey,Nylon,0.9,48,43.2,108.17
Jersey,Nylon,2.7,75,202.5,269.82
Jersey,Nylon,2.9,78,226.2,271.63
Jersey,Polyester,1.0,45,45.0,74.39
Jersey,Polyester,2.8,72,201.6,383.51
Jersey,Polyester,3.0,75,225.0,251.68
Jersey,Silk,1.1,142,156.2,282.06
Jersey,Silk,3.0,180,540.0,735.81
Jersey,Silk,3.2,185,592.0,713.34
Jersey,Wool,1.3,182,236.6,251.03
Jersey,Wool,3.2,225,720.0,850.47
Jersey,Wool,3.4,230,782.0,863.17
Shorts,Cotton,0.8,62,49.6,59.4
Shorts,Cotton,2.6,95,247.0,348.48
Shorts,Cotton,2.8,98,274.4,206.42
Shorts,Denim,1.0,88,88.0,232.63
Shorts,Denim,2.8,120,336.0,390.94
Shorts,Denim,3.0,125,375.0,422.18
Shorts,Nylon,0.7,45,31.5,86.88
Shorts,Nylon,2.3,72,165.6,254.06
Shorts,Nylon,2.5,75,187.5,337.78
Shorts,Polyester,0.8,42,33.6,76.76
Shorts,Polyester,2.4,68,163.2,269.95
Shorts,Polyester,2.6,70,182.0,162.42
Shorts,Silk,0.9,138,124.2,242.74
Shorts,Silk,2.5,172,430.0,692.33
Shorts,Silk,2.7,178,480.6,499.11
Shorts,Wool,1.1,180,198.0,239.85
Shorts,Wool,2.7,215,580.5,663.28
Shorts,Wool,2.9,220,638.0,718.55
Tracksuit,Cotton,2.2,75,165.0,253.46
Tracksuit,Cotton,4.3,105,451.5,545.42
Tracksuit,Cotton,4.5,108,486.0,593.9
Tracksuit,Denim,2.4,98,235.2,382.95
Tracksuit,Denim,4.5,128,576.0,713.93
Tracksuit,Denim,4.7,130,611.0,651.79
Tracksuit,Nylon,2.0,58,116.0,282.76
Tracksuit,Nylon,4.0,82,328.0,507.38
Tracksuit,Nylon,4.2,85,357.0,453.99
Tracksuit,Polyester,2.1,52,109.2,111.65
Tracksuit,Polyester,4.1,78,319.8,424.35
Tracksuit,Polyester,4.3,80,344.0,449.92
Tracksuit,Silk,2.4,152,364.8,281.83
Tracksuit,Silk,4.5,188,846.0,1016.95
Tracksuit,Silk,4.7,192,902.4,890.0
Tracksuit,Wool,2.6,198,514.8,594.97
Tracksuit,Wool,4.7,232,1090.4,1215.45
Tracksuit,Wool,4.9,238,1166.2,1216.58
Dress,Cotton,1.9,58,110.2,232.74
Dress,Cotton,5.3,132,699.6,779.73
Dress,Denim,2.0,88,176.0,273.72
Dress,Denim,5.3,150,795.0,852.41
Dress,Nylon,1.7,42,71.4,221.16
Dress,Nylon,5.1,102,520.2,670.64
Dress,Polyester,1.8,38,68.4,50.0
Dress,Polyester,5.3,94,498.2,617.16
Dress,Silk,1.9,128,243.2,276.75
Dress,Silk,5.3,222,1176.6,1285.58
Dress,Wool,2.2,178,391.6,462.32
Dress,Wool,5.3,272,1441.6,1673.32
Shirt,Cotton,0.8,52,41.6,60.74
Shirt,Cotton,3.0,105,315.0,325.64
Shirt,Denim,1.1,80,88.0,147.53
Shirt,Denim,3.1,128,396.8,476.92
Shirt,Nylon,0.8,40,32.0,156.37
Shirt,Nylon,2.8,76,212.8,191.82
Shirt,Polyester,0.9,40,36.0,50.0
Shirt,Polyester,3.0,72,216.0,227.42
Shirt,Silk,1.0,132,132.0,236.72
Shirt,Silk,2.9,188,545.2,742.3
Shirt,Wool,1.1,168,184.8,224.92
Shirt,Wool,3.1,228,706.8,808.06
Suit,Cotton,2.9,65,188.5,216.79
Suit,Cotton,5.7,125,712.5,901.18
Suit,Denim,3.1,88,272.8,241.81
Suit,Denim,5.9,138,814.2,898.19
Suit,Nylon,2.8,52,145.6,247.2
Suit,Nylon,5.5,96,528.0,661.82
Suit,Polyester,2.7,50,135.0,247.31
Suit,Polyester,5.5,86,473.0,594.55
Suit,Silk,3.4,148,503.2,333.19
Suit,Silk,6.0,205,1230.0,1392.16
Suit,Wool,3.3,185,610.5,599.14
Suit,Wool,6.0,248,1488.0,1458.85
Skirt,Cotton,1.3,60,78.0,187.58
Skirt,Cotton,3.6,108,388.8,537.47
Skirt,Denim,1.4,82,114.8,212.43
Skirt,Denim,3.5,125,437.5,554.41
Skirt,Nylon,1.1,45,49.5,216.18
Skirt,Nylon,3.2,78,249.6,413.83
Skirt,Polyester,1.0,42,42.0,276.76
Skirt,Polyester,3.3,72,237.6,361.61
Skirt,Silk,1.5,135,202.5,309.19
Skirt,Silk,3.8,182,691.6,685.7
Skirt,Wool,1.4,178,249.2,302.63
Skirt,Wool,3.6,230,828.0,786.36
Trousers,Cotton,1.0,58,58.0,306.84
Trousers,Cotton,3.1,105,325.5,428.23
Trousers,Denim,1.1,82,90.2,160.5
Trousers,Denim,3.2,128,409.6,489.22
Trousers,Nylon,0.9,45,40.5,79.79
Trousers,Nylon,2.9,78,226.2,406.12
Trousers,Polyester,1.0,42,42.0,90.01
Trousers,Polyester,3.0,72,216.0,298.69
Trousers,Silk,1.3,135,175.5,194.47
Trousers,Silk,3.6,188,676.8,659.18
Trousers,Wool,1.2,175,210.0,185.83
Trousers,Wool,3.5,230,805.0,870.2
Jacket,Cotton,1.8,62,111.6,153.2
Jacket,Cotton,4.4,110,484.0,476.74
